County,Fips,Geometry,Latitude,Longitude,Number of Records,Population,State,Tract
003,42003563000,POINT,40.453652,-80.075379,1,2848,42,563000
003,42003563100,POINT,40.43241,-80.049468,1,3549,42,563100
003,42003563200,POINT,40.45439,-79.998674,1,2439,42,563200
003,42003563300,POINT,40.560364,-80.142888,1,1449,42,563300
003,42003563800,POINT,40.526865,-80.13159,1,3806,42,563800
003,42003563900,POINT,40.417982,-79.844629,1,3927,42,563900
003,42003564000,POINT,40.411213,-80.231923,1,5469,42,564000
003,42003564100,POINT,40.428256,-80.088424,1,882,42,564100
003,42003564200,POINT,40.329484,-79.794842,1,2224,42,564200
003,42003564400,POINT,40.374426,-79.797951,1,5620,42,564400
003,42003564500,POINT,40.274628,-79.91334,1,3203,42,564500
003,42003980000,POINT,40.486855,-79.895745,1,540,42,980000
003,42003980100,POINT,40.478773,-79.912785,1,18,42,980100
003,42003980300,POINT,40.432567,-79.905693,1,1,42,980300
003,42003980400,POINT,40.479101,-80.021588,1,21,42,980400
003,42003980500,POINT,40.431029,-79.94717,1,27,42,980500
003,42003980600,POINT,40.451323,-80.026486,1,11,42,980600
003,42003980700,POINT,40.430952,-80.002896,1,19,42,980700
003,42003980800,POINT,40.434137,-79.968395,1,0,42,980800
003,42003980900,POINT,40.469135,-80.040265,1,1797,42,980900
003,42003981000,POINT,40.474332,-79.946517,1,4,42,981000
003,42003981100,POINT,40.443837,-79.90977,1,7,42,981100
003,42003981200,POINT,40.446495,-80.011984,1,0,42,981200
003,42003981800,POINT,40.477734,-79.894985,1,461,42,981800
003,42003982200,POINT,40.444051,-79.95593,1,4816,42,982200
